Title,Text
Article 150.,"Form of accounts of the Union and of the States.. The accounts of the Union and of theStates shall be kept in such form as the President may, on the advice of the Comptroller andAuditor-General of India, prescribe."
Article 151.,"Audit reports.. (1) The reports of the Comptroller and Auditor-General of India relating to the accounts ofthe Union shall be submitted to the President, who shall cause them to be laid beforeeach House of Parliament.(2) The reports of the Comptroller and Auditor-General of India relating to the accounts ofa State shall be submitted to the Governor of the State, who shall cause them to be laidbefore the Legislature of the State."
Article 207.,"Special provisions as to financial Bills.. (1) A Bill or amendment making provision for any of the matters specified in sub-clauses(a) to (f) of clause (1) of article 199 shall not be introduced or moved except on therecommendation of the Governor, and a Bill making such provision shall not beintroduced in a Legislative Council: Provided that no recommendation shall be requiredunder this clause for the moving of an amendment making provision for the reductionor abolition of any tax.(2) A Bill or amendment shall not be deemed to make provision for any of the mattersaforesaid by reason only that it provides for the imposition of fines or other pecuniarypenalties, or for the demand or payment of fees for licences or fees for services rendered,or by reason that it provides for the imposition, abolition, remission, alteration orregulation of any tax by any local authority or body for local purposes.(3) A Bill which, if enacted and brought into operation, would involve expenditure from theConsolidated Fund of a State shall not be passed by a House of the Legislature of theState unless the Governor has recommended to that House the consideration of the Bill."
Article 22.,"Special provisions as to financial Bills.. (1) A Bill or amendment shall not be introduced into, or moved in, the Legislative Assemblyexcept on the recommendation of the Lieutenant Governor, if such Bill or amendmentmakes provision for any of the following matters, namely:—(a)the imposition, abolition, remission, alteration or regulation of any tax;(b)the amendment of the law with respect to any financial obligations undertaken orto be undertaken by the Government of the Capital;(c)the appropriation of moneys out of the Consolidated Fund of the Capital;(d)the declaring of any expenditure to be expenditure charged on the ConsolidatedFund of the Capital or the increasing of the amount of any such expenditure;(e)the receipt of money on account of the Consolidated Fund of the Capital or thePublic Account of the Capital or the custody or issue of such money or the audit ofthe accounts of the Capital:] Provided that no recommendation shall be requiredunder this sub-section for the moving of an amendment making provision for thereduction or abolition of any tax.(2) A Bill or amendment shall not be deemed to make provision for any of the mattersaforesaid by reason only that it provides for the imposition of fines or other pecuniarypenalties, or for the demand or payment of fees for licences or fees for services rendered,or by reason that it provides for the imposition, abolition, remission, alteration orregulation of any tax by any local authority or body for local purposes.(3) A Bill which, if enacted and brought into operation, would involve expenditure from theConsolidated Fund of the Capital shall not be passed by the Legislative Assembly unlessthe Lieutenant Governor has recommended to that Assembly the consideration of theBill."
Article 239.,"Administration of Union territories.. (1) Save as otherwise provided by Parliament by law, every Union territory shall beadministered by the President acting, to such extent as he thinks fit, through anadministrator to be appointed by him with such designation as he may specify.70BUDGET MANUAL(2) Notwithstanding anything contained in Part VI, the President may appoint the Governorof a State as the administrator of an adjoining Union territory, and where a Governor isso appointed, he shall exercise his functions as such administrator independently of hisCouncil of Ministers."
Article 239A.,"Creation of local Legislatures or Council of Ministers or both for certain Union territories.. (1) `Parliament may by law create for the Union territory of Puducherry—(a)a body, whether elected or partly nominated and partly elected, to function as aLegislature for the Union territory, or(b)a Council of Ministers,or both with such constitution, powers and functions, in each case, as may be specifiedin the law.(2) Any such law as is referred to in clause (1) shall not be deemed to be an amendment ofthis Constitution for the purposes of article 368 notwithstanding that it contains anyprovision which amends or has the effect of amending this Constitution.]"
Article 239AB.,"Provision in case of failure of constitutional machinery.. If the President, on receipt of a report from the Lieutenant Governor or otherwise, is satisfied—(a) that a situation has arisen in which the administration of the National Capital Territorycannot be carried on in accordance with the provisions of article 239AA or of any lawmade in pursuance of that article; or (b) that for the proper administration of the National Capital Territory it is necessary orexpedient so to do,the President may by order suspend the operation of any provision of article 239AA or of allor any of the provisions of any law made in pursuance of that article for such period andsubject to such conditions as may be specified in such law and make such incidental andconsequential provisions as may appear to him to be necessary or expedient for administeringthe National Capital Territory in accordance with the provisions of article 239 and article"
Article 239,"B. Power of administrator to promulgate Ordinances during recess of Legislature.. (1) If at any time, except when the Legislature of the Union territory of Puducherry is insession, the administrator thereof is satisfied that circumstances exist which render itnecessary for him to take immediate action, he may promulgate such Ordinances asthe circumstances appear to him to require: Provided that no such Ordinance shall bepromulgated by the administrator except after obtaining instructions from the Presidentin that behalf: Provided further that whenever the said Legislature is dissolved, or itsfunctioning remains suspended on account of any action taken under any such law asis referred to in clause (1) of article 239A, the administrator shall not promulgate anyOrdinance during the period of such dissolution or suspension.(2) An Ordinance promulgated under this article in pursuance of instructions from thePresident shall be deemed to be an Act of the Legislature of the Union territory whichhas been duly enacted after complying with the provisions in that behalf contained inany such law as is referred to in clause (1) of article 239A, but every such Ordinance—(a)shall be laid before the Legislature of the Union territory and shall cease to operateat the expiration of six weeks from the reassembly of the Legislature or if, beforethe expiration of that period, a resolution disapproving it is passed by the Legislature,upon the passing of the resolution; and(b)may be withdrawn at any time by the administrator after obtaining instructionsfrom the President in that behalf.73BUDGET MANUAL(3) If and so far as an Ordinance under this article makes any provision which would notbe valid if enacted in an Act of the Legislature of the Union territory made after complyingwith the provisions in that behalf contained in any such law as is referred to in clause (1)of article 239A, it shall be void."
Article 265.,Taxes not to be imposed save by authority of law.. No tax shall be levied or collected except by authority of law.
Article 266.,"Consolidated Funds and public accounts of India and of the States.. (1) Subject to the provisions of article 267 and to the provisions of this Chapter with respectto the assignment of the whole or part of the net proceeds of certain taxes and duties toStates, all revenues received by the Government of India, all loans raised by thatGovernment by the issue of treasury bills, loans or ways and means advances and allmoneys received by that Government in repayment of loans shall form one consolidatedfund to be entitled “the Consolidated Fund of India”, and all revenues received by theGovernment of a State, all loans raised by that Government by the issue of treasurybills, loans or ways and means advances and all moneys received by that Governmentin repayment of loans shall form one consolidated fund to be entitled “the ConsolidatedFund of the State”.(2) All other public moneys received by or on behalf of the Government of India or theGovernment of a State shall be credited to the public account of India or the publicaccount of the State, as the case may be.(3) No moneys out of the Consolidated Fund of India or the Consolidated Fund of a Stateshall be appropriated except in accordance with law and for the purposes and in themanner provided in this Constitution."
Article 267.,"Contingency Fund.. (1) Parliament may by law establish a Contingency Fund in the nature of an imprest to beentitled “the Contingency Fund of India” into which shall be paid from time to timesuch sums as may be determined by such law, and the said Fund shall be placed at thedisposal of the President to enable advances to be made by him out of such Fund forthe purposes of meeting unforeseen expenditure pending authorisation of suchexpenditure by Parliament by law under article 115 or article 116.(2) The Legislature of a State may by law establish a Contingency Fund in the nature of animprest to be entitled “the Contingency Fund of the State” into which shall be paid fromtime to time such sums as may be determined by such law, and the said Fund shall beplaced at the disposal of the Governor of the State to enable advances to be made byhim out of such Fund for the purposes of meeting unforeseen expenditure pendingauthorisation of such expenditure by the Legislature of the State by law under article205 or article 206.74BUDGET MANUALDistribution of Revenues between the Union and the States"
Article 268.,"Duties levied by the Union but collected and appropriated by the States.. (1) Such stamp duties and such duties of excise on medicinal and toilet preparations as arementioned in the Union List shall be levied by the Government of India but shall becollected—(a)in the case where such duties are leviable within any Union territory, by theGovernment of India, and(b)in other cases, by the States within which such duties are respectively leviable.(2) The proceeds in any financial year of any such duty leviable within any State shall notform part of the Consolidated Fund of India, but shall be assigned to that State."
Article 269.,"Taxes levied and collected by the Union but assigned to the States.. (1) Taxes on the sale or purchase of goods and taxes on the consignment of goods shall belevied and collected by the Government of India but shall be assigned and shall bedeemed to have been assigned to the States on or after the 1st day of April, 1996 in themanner provided in clause (2). Explanation.—For the purposes of this clause,-(a)the expression “taxes on the sale or purchase of goods” shall mean taxes on saleor purchase of goods other than newspapers, where such sale or purchase takesplace in the course of inter-State trade or commerce;(b)the expression “taxes on the consignment of goods” shall mean taxes on theconsignment of goods (whether the consignment is to the person making it or toany other person), where such consignment takes place in the course of inter-Statetrade or commerce.(2) The net proceeds in any financial year of any such tax, except in so far as those proceedsrepresent proceeds attributable to Union territories, shall not form part of theConsolidated Fund of India, but shall be assigned to the States within which that tax isleviable in that year, and shall be distributed among those States in accordance withsuch principles of distribution as may be formulated by Parliament by law.(3) Parliament may by law formulate principles for determining when a sale or purchaseof, or consignment of, goods takes place in the course of inter-State trade or commerce."
Article 27.,"Annual financial statement.. (1) The Lieutenant Governor shall in respect of every financial year cause to be laid beforethe Legislative Assembly, with the previous sanction of the President, a statement of theestimated receipts and expenditure of the Capital for that year, in this Part referred to asthe “annual financial statement”.(2) The estimates of expenditure embodied in the annual financial statement shall showseparately— (a) the sums required to meet expenditure described by this Act asexpenditure charged upon the Consolidated Fund of the Capital; and (b) the sumsrequired to meet other expenditure proposed to be made from the Consolidated Fundof the Capital, and shall distinguish expenditure on revenue account from otherexpenditure.86BUDGET MANUAL(3) Notwithstanding anything contained in any law for the time being in force, the followingexpenditure shall be expenditure charged on the Consolidated Fund of the Capital:—(a) the emoluments and allowances of the Lieutenant Governor and other expenditurerelating to his office as determined by the President by general or special order; (b) thecharges payable in respect of loans advanced to the Capital from the ConsolidatedFund of India including interest, sinking fund charges and redemption charges, andother expenditure connected therewith; (c) the salaries and allowances of the Speakerand the Deputy Speaker of the Legislative Assembly; (d) expenditure in respect of thesalaries and allowances of Judges of the High Court of Delhi. (e) any sums required tosatisfy any judgment, decree or award of any court or arbitral tribunal; (f) any otherexpenditure declared by the Constitution or by law made by Parliament or by theLegislative Assembly to be so charged."
Article 270.,"Taxes levied and distributed between the Union and the States.. (1) All taxes and duties referred to in the Union List, except the duties and taxes referred toin articles 268 and 269, respectively, surcharge on taxes and duties referred to in article271 and any cess levied for specific purposes under any law made by Parliament shallbe levied and collected by the Government of India and shall be distributed betweenthe Union and the States in the manner provided in clause (2).75BUDGET MANUAL(2) Such percentage, as may be prescribed, of the net proceeds of any such tax or duty inany financial year shall not form part of the Consolidated Fund of India, but shall beassigned to the States within which that tax or duty is leviable in that year, and shall bedistributed among those States in such manner and from such time as may be prescribedin the manner provided in clause (3).(3) In this article, “prescribed” means, —(i)until a Finance Commission has been constituted, prescribed by the President byorder, and(ii)after a Finance Commission has been constituted, prescribed by the President byorder after considering the recommendations of the Finance Commission."
Article 271.,"Surcharge on certain duties and taxes for purposes of the Union.. Notwithstanding anythingin articles 269 and 270, Parliament may at any time increase any of the duties or taxes referred toin those articles by a surcharge for purposes of the Union and the whole proceeds of any suchsurcharge shall form part of the Consolidated Fund of India."
Article 272.,"Taxes which are levied and collected by the Union and may be distributed between theUnion and the States.. Rep. by the Constitution (Eightieth Amendment) Act, 2000."
Article 273.,"Grants in lieu of export duty on jute and jute products.. (1) There shall be charged on the Consolidated Fund of India in each year as grants-in-aidof the revenues of the States of Assam, Bihar, Orissa and West Bengal, in lieu ofassignment of any share of the net proceeds in each year of export duty on jute and juteproducts to those States, such sums as may be prescribed.(2) The sums so prescribed shall continue to be charged on the Consolidated Fund of Indiaso long as any export duty on jute or jute products continues to be levied by theGovernment of India or until the expiration of ten years from the commencement of thisConstitution whichever is earlier.(3) In this article, the expression “prescribed” has the same meaning as in article 270."
Article 275.,"Grants from the Union to certain States.. (1) Such sums as Parliament may by law provideshall be charged on the Consolidated Fund of India in each year as grants-in-aid of the revenuesof such States as Parliament may determine to be in need of assistance, and different sums may befixed for different States:Provided that there shall be paid out of the Consolidated Fund of India as grants-in-aid ofthe revenues of a State such capital and recurring sums as may be necessary to enable that Stateto meet the costs of such schemes of development as may be undertaken by the State with theapproval of the Government of India for the purpose of promoting the welfare of the ScheduledTribes in that State or raising the level of administration of the Scheduled Areas therein to that o f theadministration of the rest of the areas of that State:76BUDGET MANUALProvided further that there shall be paid out of the Consolidated Fund of India as grants-in-aid of the revenues of the State of Assam sums, capital and recurring, equivalent to—(a) the average excess of expenditure over the revenues during the two years immediatelypreceding the commencement of this Constitution in respect of the administration ofthe tribal areas specified in Part I of the table appended to paragraph 20 of the SixthSchedule; and(b) the costs of such schemes of development as may be undertaken by that State with theapproval of the Government of India for the purpose of raising the level of administrationof the said areas to that of the administration of the rest of the areas of that State.(1A) On and from the formation of the autonomous State under article 244A,—(i) any sums payable under clause (a) of the second proviso to clause (1) shall, if theautonomous State comprises all the tribal areas referred to therein, be paid to theautonomous State, and, if the autonomous State comprises only some of those tribalareas, be apportioned between the State of Assam and the autonomous State as thePresident may, by order, specify;(ii) there shall be paid out of the Consolidated Fund of India as grants-in-aid of the revenuesof the autonomous State sums, capital and recurring, equivalent to the costs of suchschemes of development as may be undertaken by the autonomous State with theapproval of the Government of India for the purpose of raising the level of administrationof that State to that of the administration of the rest of the State of Assam.(2) Until provision is made by Parliament under clause (1), the powers conferred onParliament under that clause shall be exercisable by the President by order and anyorder made by the President under this clause shall have effect subject to any provisionso made by Parliament:Provided that after a Finance Commission has been constituted no order shall be madeunder this clause by the President except after considering the recommendations of the FinanceCommission."
Article 279.,"Calculation of “net proceeds”, etc.. (1) In the foregoing provisions of this Chapter, “net proceeds” means in relation to any taxor duty the proceeds thereof reduced by the cost of collection, and for the purposes ofthose provisions the net proceeds of any tax or duty, or of any part of any tax or duty, inor attributable to any area shall be ascertained and certified by the Comptroller andAuditor-General of India, whose certificate shall be final.(2) Subject as aforesaid, and to any other express provision of this Chapter, a law made byParliament or an order of the President may, in any case where under this Part theproceeds of any duty or tax are, or may be, assigned to any State, provide for themanner in which the proceeds are to be calculated, for the time from or at which andthe manner in which any payments are to be made, for the making of adjustmentsbetween one financial year and another, and for any other incidental or ancillary matters.77BUDGET MANUAL"
Article 28.,"Procedure in Legislative Assembly with respect to estimates.. (1) So much of the estimates as relates to expenditure charged upon the ConsolidatedFund of the Capital shall not be submitted to the vote of the Legislative Assembly, butnothing in this sub-section shall be construed as preventing the discussion in theLegislative Assembly of any of those estimates.(2) So, much of the said estimates as relates to other expenditure shall be submitted in theform of demands for grants to the Legislative Assembly, and the Legislative Assemblyshall have power to assent, or to refuse to assent, to any demand, or to assent to anydemand subject to a reduction of the amount specified therein.(3) No demand for a grant shall be made except on the recommendation of the LieutenantGovernor."
Article 280.,"Finance Commission.. (1) The President shall, within two years from the commencement of this Constitution andthereafter at the expiration of every fifth year or at such earlier time as the Presidentconsiders necessary, by order constitute a Finance Commission which shall consist of aChairman and four other members to be appointed by the President.(2) Parliament may by law determine the qualifications which shall be requisite forappointment as members of the Commission and the manner in which they shall beselected.(3) It shall be the duty of the Commission to make recommendations to the President asto—(a)the distribution between the Union and the States of the net proceeds of taxeswhich are to be, or may be, divided between them under this Chapter and theallocation between the States of the respective shares of such proceeds;(b)the principles which should govern the grants-in-aid of the revenues of the Statesout of the Consolidated Fund of India;(bb)the measures needed to augment the Consolidated Fund of a State tosupplement the resources of the Panchayats in the State on the basis of therecommendations made by the Finance Commission of the State;(c)the measures needed to augment the Consolidated Fund of a State to supplementthe resources of the Municipalities in the State on the basis of the recommendationsmade by the Finance Commission of the State;(d)any other matter referred to the Commission by the President in the interests ofsound finance.(4) The Commission shall determine their procedure and shall have such powers in theperformance of their functions as Parliament may by law confer on them."
Article 281.,Recommendations of the Finance Commission.. The President shall cause everyrecommendation made by the Finance Commission under the provisions of this Constitution togetherwith an explanatory memorandum as to the action taken thereon to be laid before each House ofParliament.
Article 282.,"Expenditure defrayable by the Union or a State out of its revenues.. The Union or a Statemay make any grants for any public purpose, notwithstanding that the purpose is not one withrespect to which Parliament or the Legislature of the State, as the case may be, may make laws."
Article 283.,"Custody, etc., of Consolidated Funds, Contingency Funds and moneys credited to the publicaccounts.. (1)The custody of the Consolidated Fund of India and the Contingency Fund of India, thepayment of moneys into such Funds, the withdrawal of moneys there from, the custody78BUDGET MANUALof public moneys other than those credited to such Funds received by or on behalf of theGovernment of India, their payment into the public account of India and the withdrawalof moneys from such account and all other matters connected with or ancillary to mattersaforesaid shall be regulated by law made by Parliament, and, until provision in thatbehalf is so made, shall be regulated by rules made by the President.(2) The custody of the Consolidated Fund of a State and the Contingency Fund of a State,the payment of moneys into such Funds, the withdrawal of moneys there from, thecustody of public moneys other than those credited to such Funds received by or onbehalf of the Government of the State, their payment into the public account of theState and the withdrawal of moneys from such account and all other matters connectedwith or ancillary to matters aforesaid shall be regulated by law made by the Legislatureof the State, and, until provision in that behalf is so made, shall be regulated by rulesmade by the Governor of the State."
Article 284.,"Custody of suitors’ deposits and other moneys received by public servants and courts.. Allmoneys received by or deposited with— (a) any officer employed in connection with the affairs of the Union or of a State in hiscapacity as such, other than revenues or public moneys raised or received by theGovernment of India or the Government of the State, as the case may be, or (b) any court within the territory of India to the credit of any cause, matter, account orpersons, shall be paid into the public account of India or the public account of State, asthe case may be."
Article 29.,"Appropriation Bills.. (1) As soon as may be after the grants under section 28 have been made by the LegislativeAssembly, there shall be introduced a Bill to provide for the appropriation out of theConsolidated Fund of the Capital of all moneys required to meet— (a) the grants somade by the Assembly, and (b) the expenditure charged on the Consolidated Fund ofthe Capital but not exceeding in any case the amount shown in the statement previouslylaid before the assembly.(2) No amendment shall be proposed to any such Bill in the Legislative Assembly which willhave the effect of varying the amount or altering the destination of any grant so madeor of varying the amount of any expenditure charged on the Consolidated Fund of theCapital and the decision of the person presiding as to whether an amendment isinadmissible under this sub-section shall be final.(3) Subject to the other provisions of this Act, no money shall be withdrawn from theConsolidated Fund of the Capital except under appropriation made by law passed inaccordance with the provisions of this section.87BUDGET MANUAL"
Article 292.,"Borrowing by the Government of India.. The executive power of the Union extends toborrowing upon the security of the Consolidated Fund of India within such limits, if any, as mayfrom time to time be fixed by Parliament by law and to the giving of guarantees within such limits,if any, as may be so fixed."
Article 293.,"Borrowing by States.. (1) Subject to the provisions of this article, the executive power of a State extends to borrowingwithin the territory of India upon the security of the Consolidated Fund of the Statewithin such limits, if any, as may from time to time be fixed by the Legislature of suchState by law and to the giving of guarantees within such limits, if any, as may be sofixed.(2) The Government of India may, subject to such conditions as may be laid down by orunder any law made by Parliament, make loans to any State or, so long as any limitsfixed under article 292 are not exceeded, give guarantees in respect of loans raised byany State, and any sums required for the purpose of making such loans shall be chargedon the Consolidated Fund of India.(3) A State may not without the consent of the Government of India raise any loan if thereis still outstanding any part of a loan which has been made to the State by the Government79BUDGET MANUALof India or by its predecessor Government, or in respect of which a guarantee has beengiven by the Government of India or by its predecessor Government.(4) A consent under clause (3) may be granted subject to such conditions, if any, as theGovernment of India may think fit to impose."
Article 30.,"Supplementary, additional or excess grants.. (1) The Lieutenant Governor shall,— (a) if the amount authorised by any law made inaccordance with the provisions of section 29 to be expended for a particular service forthe current financial year is found to be insufficient for the purposes of that year orwhen a need has arisen during the current financial year for supplementary or additionalexpenditure upon some new service not contemplated in the annual financial statementfor that year, or (b) if any money has been spent on any service during a financial yearin excess of the amount granted for that service and for that year, cause to be laidbefore the Legislative Assembly, with the previous sanction of the President, anotherstatement showing the estimated amount of that expenditure or cause to be presentedto the Legislative Assembly with such previous sanction a demand for such excess, asthe case may be.(2) The provisions of sections 27, 28 and 29 shall have effect in relation to any suchstatement and expenditure or demand and also to any law to be made authorising theappropriation of moneys out of the Consolidated Fund of the Capital to meet suchexpenditure or the grant in respect of such demand as they have effect in relation to theannual financial statement and the expenditure mentioned therein or to a demand fora grant and the law to be made for the authorisation of appropriation of moneys out ofthe Consolidated Fund of the Capital to meet such expenditure or grant."
Article 31.,"Votes on account.. (1) Notwithstanding anything in the foregoing provisions of this Part, the Legislative Assemblyshall have power to make any grant in advance in respect of the estimated expenditurefor a part of any financial year pending the completion of the procedure prescribed insection 28 for the voting of such grant and the passing of the law in accordance withthe provisions of section 29 in relation to that expenditure and the Legislative Assemblyshall have power to authorise by law the withdrawal of moneys from the ConsolidatedFund of the Capital for the purposes for which the said grant is made.(2) The provisions of sections 28 and 29 shall have effect in relation to the making of anygrant under sub-section (1) or to any law to be made under that sub-section as theyhave effect in relation to the making of a grant with regard to any expenditure mentionedin the annual financial statement and the law to be made for the authorisation ofappropriation of moneys, out of the Consolidated Fund of the Capital to meet suchexpenditure."
