Title,Text
C&AG AUDIT REPORTS,"Comptroller & Auditor General of Indiaconducts not only an accounting andcompliance audit but also evaluation of the endresults of the operations of Government,including considerations of economy, efficiencyand effectiveness. C&AG conducts Audit of UnionGovernment Finance and Appropriation andsubmit audit report in terms of Article 151 ofConstitution. C&AG is also entrusted with theresponsibility of auditing compliance with theFRBM Act and Rules by the Central Government.57BUDGET MANUAL The Public Accounts Committee (PAC)selects the subject for its consideration basedon the Audit Report submitted by C&AG."
Capital Receipts,"2. Capital Receipts which consists of debtreceipts (borrowing) and Non debtCapital Receipts (disinvestment andrepayment of loans & other receipts).22BUDGET MANUALNon Tax Revenue estimates are calledfrom respective Ministries/Departments and arecompiled by the Budget Division. Meeting withselect Ministries/Departments are organized fordetailed discussion of Non tax Revenueestimates before finalization. Non-tax revenuescomprise 3 components:a. Interest received from States, UTs andother sourcesb. Dividend from PSUs, RBI and other Banks& Insurance Companiesc. Other NTR. For the purpose of preparing receiptsestimates, all other items of revenue receipts aredivided into the following categories:(i) Taxes, duties and receipts in relation toUnion Territories without legislature;(ii) Interest receipts in respect of loans andadvances sanctioned by Ministries/Departments to State and Union territoryGovernments, Foreign Governments,Public Sector Enterprises and othersincluding Government servants, interestcharged to working expenses ofdepartmental commercial undertakings,etc.;(iii) Estimates of Revenue receipts adjustableunder Major Head ‘1605 - ExternalGrant Assistance’ and ‘1606-AidMaterial and Equipment’; and(iv) All other Revenue receipts includingestimates of cess, but excluding the cesscollected by the Central Board of Exciseand Customs and Central Board ofDirect Taxes.Receipt estimates, except for items atsub-para (ii) and (iii) above, is to be furnishedto the Budget Division in the form as prescribedin the Budget Circular. .3 Estimates of Central taxes and duties :Estimates of Central Taxes and duties includingvarious Cesses needs to be furnished to BudgetDivision as per the prescribed timelines byDepartment of Revenue (Central Board of Directtax and Central Board of Indirect Tax andCustoms). Tax rates related decisions and growthassumptions are primarily the basis for makingDirect tax estimates. These estimates are madeavailable to the Budget Division in the requiredformat by the Tax Research Unit (TRU) of CentralBoard of Indirect Tax and Customs and Tax PolicyLegislation (TPL) Division of CBDT. Estimates of taxes, duties and otherrevenue receipts in relation to Union territoryadministrations is required to be furnished toFinance Ministry by various authorities asdetailed in the Budget Circular, in the same formas prescribed. Estimates of Interest receipts: Theestimates of Interest Receipts are required to beprepared in the following groups:(a) Interest receipts from State and UnionTerritory Governments;(b) Interest receipts from foreigngovernments;(c) Interest receipts from public sectorfinancial institutions;(d) Interest receipts from industrial andcommercial enterprises, both in thepublic and private sectors;(e) Interest receipts from statutory bodies(municipalities, port trusts, etc.);(f) Interest receipts from departmentalcommercial undertakings;(g) Interest receipts from other borrowers(excluding Government servants) e.g.dock labour boards, cooperativesocieties, educational institutions, etc.;23BUDGET MANUAL(h) Interest on advances to Governmentservants; and(i) Other interest receipts e.g. premium onloans floated, interest on Cash BalanceInvestment Account - these would mainlypertain to the Department of EconomicAffairs. Chief Controllers of Accounts areresponsible for preparing estimates of interestreceipts with reference to loans outstandingagainst borrowers in their books including loansexpected to be sanctioned during the ensuingfinancial year, not on what is proposed by thecompanies or financial institutions etc. afterobtaining the approval of the Financial Adviser. Realistic assessment should be made ofinterest due from Public Sector Undertakingsand other loan recipients as also of loanrepayments by them, taking into account theneed to ensure that they fully discharge theircurrent interest obligations and also clear theiroutstanding dues within a practical timeframe.These Statements should be furnished to theBudget Division in the form prescribed in theBudget Circular and within the date prescribed.NIL information also needs to be submitted tothe Budget Division in writing without fail. Theprescribed form covers both interest receipts aswell as loan repayments. Estimates relating to interest charged onCapital Outlay of the DepartmentalCommercial Undertakings should correspondto the expenditure provisions and the ChiefControllers of Accounts/Controller of Accountswhile framing these estimates must ensure thatthis correspondence is maintained. Theaverage rate of interest to be adopted for thispurpose is advised separately by the Ministryof Finance. Write off and waiver: Reliefs andconcessions provided to various PSUs in the formof write off of loans, waiver of interest/guaranteefee are required to be reflected in ExpenditureBudget as distinct items of expenditure withequivalent receipts assumed thereunder. Eventhough these are all non-cash expenditure, thereceipts so assumed in such cases should alsobe included while furnishing receipts estimatesto Budget Division."
Cash Management and Exchequer Control,"Initially CMEC was introduced on1s tApril, 2006. Based on the working of thescheme, it was decided to expand and modifythe scheme as detailed below. Modified CashManagement System seeks to achieve, interalia,the following objectives-(i) Obtai n greate r evenne ss in the budgete dexpend iture within the financial year ,espec ially in respect of item s entailin glarge sums of advance releases andtransfers to corpus funds;(ii) Reduce rush of expen diture during thelast quarter, espec ially the last month ofthe financial year;(iii)Reduce parking of funds;(iv)Effectively monitor the expend iturepattern; and(v) Better planning of Indicative MarketBorrowing Calenda r of the CentralGovernment."
CHECK LIST FOR BUDGET EXECUTION,"i. That there should be provision of fundsauthorized by competent authority fixingthe limits within which expenditure canbe incurred;ii. that the expenditure incurred shouldconform to the relevant provisions of theAppropriation Act, the Constitution andthe laws made thereunder and shouldalso be in accordance with the financialrules and regulations framed bycompetent authority ;iii. that there should exist sanction, eitherspecial or general, accorded bycompetent authority, authorizingexpenditure;iv. that the expenditure should be incurredwith due regard to broad and generalprinciples of financial propriety;v. Re-appropriations should be made inaccordance with the rules in Delegationof Financial Power Rules, 1978;vi. Expenditure on a service not covered bya vote of the Parliament should not beincurred, unless the requisite funds havebeen arranged by obtaining an advancefrom the Contingency Fund of India;vii. Drawing from Consolidated Fund ofIndia should not be resorted to if moneyis not required for immediate use.viii.Abandon ment of revenue withou tprope r sanction e.g., sale of Governmentproperty below marke t rates, or reduct ionof dues payable under a license or leasewithout the sanction of the competentauthority in each case, should not beresorted to.ix. Any large claim against anotherGovernment local body or other outsideparty should not be allowed to remainoutstanding for an unduly long time.x. Any irregularity connected with agrant-in-aid, such as neglect ( i) by thesanctioning authority of conditionsprecedent to the grant or ( ii) by thegrantee of the conditions, expressed orimplied, attached to the grant by thesanctioning authority.xi. Any instance of the absence ofadministrative regulations andprocedure sufficient to secure a properand effective check upon monetarytransactions."
CLASSIFICATION OF TRANSACTIONS,"The Budget of Government is linked tothe accounts and Government transactionsaccounted for under the Consolidated Fund,Contingency Fund and the Public Account ofIndia. As a general rule, classification oftransactions has closer reference to functions,programmes and activities of the Governmentand the object of revenue or expend iture, rather62BUDGET MANUALthan the department in which the revenue orexpenditure occurs. Number of classification in the DetailedDemands for Grants are not allowed to gobeyond the standard six tiers indicated as under-"
Communication of Grants,"After the Appropriation Bill relating toBudget is passed, Ministry of Finance notifies/communicates the same to Ministries/Departments. Ministries/Departments in turn distributethe same to their subordinate formations. Thedistribution so made shall also becommunicated to the respective Pay andAccounts Officers who shall exercise checkagainst the allocation to each subordinateauthority."
CONSOLIDATED FUND OF INDIA(Part-I):,"Under Article 266(1) of the Constitutionof India, all revenues received by theGovernment of India, all loans raised by theGovernment by issue of treasury bills, loans orWays and Means advances and all moneysreceived by the Government in repayment ofloans shall form one consolidated fund to betitled the “ Consolidated Fund of India”.TheConsolidated Fund of India has following twodivisions-i. Revenue Accountii. Capital Account Revenue Account-Expenditure/Receipts:Revenue Account deals with the proceeds oftaxation and other receipts classified as Revenueand expenditure met therefrom. Capital Account-Expenditure/Receipts:Capital Account deals with expenditure incurredwith the purpose of either increasing theconcrete assets of durable nature or of reducingrecurring liabilities. It is logical otherwise to meetCapital expenditure from borrowed funds, theliabilities in respect of which are spread over anumber of years, as the benefits arising fromCapital expenditure flow over a period of years.Capital Account also includes various types ofCapital Receipts.CHAPTER 7STRUCTURE OF GOVERNMENT ACCOUNTS Capital Account comprises of thefollowing sections:a. The section ‘Receipt heads (CapitalAccount)’ deals with receipts of a Capitalnature which cannot be applied as a setoff to Capital Expenditure;b. The section ‘Expenditure heads (CapitalAccount)’ deals with expenditure incurredwith the object either of increasingconcrete assets of a material andpermanent character or of reducingrecurring liabilities. It also includesreceipts of Capital nature intended to beapplied as set off to Capital expenditure;andc. The sections ‘Public Debt’ and ‘Loansand Advances’, comprise of loans raisedand their re-payments such as internaldebt, external debt and their recoveries. For budgeting purposes, distinctionbetween Revenue expenditure and Capitalexpenditure is crucial. The Capital account alsoincludes loans raised by Government and theirrepayments, and loans and advances lent bythe Government and their recoveries."
CONTINGENCY FUND OF INDIA(Part-II):,"Article 267 of the Constitution providesfor constitution of the Contingency Fund andthe said fund shall be placed at the disposal ofthe President, to enable advances to be madeout of such fund for the purposes of meetingunforeseen expenditure pending authorizationof such expenditure by Parliament. Contingency Fund is in the nature of animprest.60BUDGET MANUAL The Centra l Government estab lishedits Contingen cy Fund unde r the Con tingen cyFund of India Act, 1950 and has also framedthe ‘Contingency Fund of India Rules’ underSection 4 of that Act. These rules prescribe theprocedure for obtaining advances from this fundand their subsequent adjustment. The corpus of the Contingency Fund iscreated by debit to the Consolidated Fund ofIndia, and when expenditure is incurred out ofan advance from the Contingen cy Fund, theexpend iture is booked unde r the same headunder the ‘Contingency Fund’. Subsequent ly, with the regular izationof expend iture by obtaining vote of Parliament,the amount so advanced from Con tingen cyFund is recoupe d to the corpu s of theContingenc y Fund by debit to the ConsolidatedFund of India. The expenditure is then booke dinitially unde r the same head unde r theConsolidate d Fund of India , as revenue orcapita l expenditure, as the case may be. In Government accounts, ContingencyFund has a single Major Head toaccommo date all transac tions of the fund. TheCont ingen cy Fund of India Rules is atAnnexure 11."
Control of Expenditure against Budget,"Ministries/Departments are responsiblefor the control of expenditure against thesanctioned grants and appropriations placedat their disposal. The control shall be exercisedthrough the Heads of Departments and otherControlling Officers, if any, and DisbursingOfficers subordinate to them. It has to be ensured that(i) expenditure is incurred for the approvedpurpose,(ii) it is within the sums allotted,(iii) it has been incurred under the authoritycompetent to sanction it, and(iv) due prudence has been followed in itsincurrence. As Ministries have delegatedtheir powers to lower functionaries, thebasic responsibility is shifted to theparticular functionary concerned, butoverall responsibility remains with theadministrative Ministry. A Grant or Appropriation can be utilisedonly to cover the charges (including liabilities, ifany, of the past year) which are to be paid duringthe financial year of the Grant or Appropriationand adjusted in the accounts of the year. Nocharges against a Grant or Appropriation canbe authorized after the expiry of the financialyear. No expenditure shall be incurred whichmay have the effect of exceeding the total grantor appropriation authorized by Parliament bylaw for a financial year, except after obtaininga supplementary grant or appropriation or anadvance from the Contingency Fund. It has to be ensured that no publicauthority can incur any expenditure or enter intoany liability involving expenditure or transfer ofmoneys for investment or deposit fromGovernment account unless such expenditureor transfer, as the case may be has beensanctioned by general or special orders ofthe Government or by any authority to whichpower has been delegated in this regard. Government authorities have to complywith rules prescribed in the General FinancialRules and the Delegation of Financial PowerRules in all financial matters.CHAPTER 5BUDGET EXECUTION48BUDGET MANUAL Designa ted controlling authorities haveto ensure not only that the total expend iture iskept within the limits of the authorised grantsbut also that the funds allotted to spend ing unitsare expende d in the public interest and onobject s for which the money was provided. Inorder to maintain prope r control, the controllingofficer obtains information on not only what hasactually been spent from the grants but alsowhat commitments and liabilities have been andwill be incurred against them."
CONTROLLER GENERAL OFACCOUNTS,"CGA has the responsibility forestablishing and maintaining a technicallysound accounting system in theDepartmentalised Accounts Offices. CGA prepares an analytical report onexpenditure, revenues, borrowings and thedeficit for the Finance Minister every month.CGA also prepares annual AppropriationAccounts and Union Finance Accounts forpresentation to the Parliament. CGA maintains line item wise accountsof all the transactions involving ConsolidatedFund of India, Contingency Fund of India andPublic Account of India. Various subsidiaryaccounts such as Loan accounts, Fund accountsetc. are also maintained by these units. Preparation and submission ofAppropriation and Finance Accounts to theParliament done by CGA completes the cycleof budgetary process. Through Appropriation Accounts,Parliament is informed about the expenditureincurred against the appropriations made bythe Parliament in the previous financial year. All expenditures are duly audited andexcesses or savings in the expenditure arerequired to be explained in the AppropriationAccounts."
CUT-MOTIONS,"After the General Discussion, theDemands for Grants of individual Ministries/Departments are taken up in Lok Sabha fordiscussion according to a time table decided atthe meeting of Business Advisory Committee ofthe House and voted upon. When a Demand is taken up fordiscussion, any Member may seek reduction in11BUDGET MANUALthe amount of the Demand by moving any ofthe following types of Cut Motions , a notice forwhich should have been given by him/her earlier :(a) Disapproval of Policy Cut: by moving“that the amount of the demand bereduced to “Rs. 1”, thus representingdisapproval of the policy underlying thedemand. The Member giving notice of‘Disapproval of Policy Cut’ indicates inprecise terms the particulars of the policywhich he/she proposes to discuss. Thediscussion is confined to specific pointsmentioned in the notice and is open tothe member to advocate an alternativepolicy.(b) Economy Cut: by moving “that theamount of the demand be reduced by aspecified amount” representing theeconomy that can be effected. TheMember giving notice of ‘Economy Cut’may indicate either a lump sum reductionin the Demand or omission or reductionof an item. She/he, briefly and preciselyindicates the particular matter on whichdiscussion is sought to be raised and her/his speech has to be confined to thatmatter as to how economy can beeffected; and(c) Token Cut: by moving “that the amountof the demand be reduced by “Rs. 100”to ventilate a specific grievance, whichis in the sphere of responsibility of theGovernment of India. The discussion islimited to a particular grievance specifiedin the motion. Advance copies of Cut Motions relatingto Ministry of Finance when received are sent tothe Financial Adviser for preparation of briefsthereon for the Finance Minister’s use. Cut motions are generally replied by theadministrative Minister concerned. GUILLOTINE On the last day of discussion onDemands for Grants, the Speaker puts all theoutstanding Demands for Grants to the vote ofthe House. This process is known as ‘Guillotine’and is a device for bringing the debate onfinancial proposals to an end within a specifiedtime with the result that several Demands haveto be voted by the House without discussions. When time for applying the guillotine isreached, the Member or the Minister who is inattendance of the House is asked by the Speakerto resume his/her seat. Cut Motions which havebeen moved are immediately put to vote anddisposed (negated). The Ministry ofParliamentary Affairs ensures that Ministersconcerned with the Ministries/Departmentswhose Demands for Grants are guillotined arepresent in the House so that they are availableto provide material/answer on points which maybe raised by Members."
DEPARTMENT OF EXPENDITURE," The Department of Expenditure isconcerned with expenditure related to financialpolicies of the government covering financialrules and regulations and delegation of financialpowers, financial sanctions on issues notcovered by delegated powers, review of staffing15BUDGET MANUALof government establishments, generalprinciples of government accounting, capitalrestructuring of public sector undertakings etc. Department of Expenditure administersgrants part of the Finance Commission awardcomprising revenue deficit grants, CalamityRelief Fund (CRF), grants for local bodies, health,education and other special purpose grants. Guidelines for formulation, appraisaland approval of Government funded schemes/projects are issued/updated from time to time."
